"Matrix","Ceramide","n (SP)
(SOP/Others)","n (CAL)
(SOP/Others)","μmol/L (SP)
mean","μmol/L (SP)
SEM","μmol/L (CAL)
mean","μmol/L (CAL)
SEM","Inter-lab %CV
(SP)","Inter-lab %CV
(CAL)","Intra-lab %CV
(CAL, median)"
"SRM","Cer 18:1;O2/16:0","33 (21/12)","35 (21/14)",0.3506658872676507,0.005630297792782399,0.2438313501584896,0.005676638306745242,9.223480117019928,13.773226904856669,4.16132042448421
"SRM","Cer 18:1;O2/18:0","33 (22/11)","31 (21/10)",0.05525196438836992,9.435625624029449e-4,0.08347175412107849,0.0017436393630345655,9.810247129951101,11.630488911314204,4.163139369519228
"SRM","Cer 18:1;O2/24:0","35 (20/15)","35 (20/15)",2.567039567328807,0.0494496199791172,2.4115767520891636,0.041254967111401836,11.396314289959763,10.120668009789307,3.6689802854347158
"SRM","Cer 18:1;O2/24:1","32 (21/11)","31 (20/11)",0.8397445835882196,0.022144211777361655,0.8554107235506436,0.013000025077055099,14.917223753818663,8.461558213753062,3.7473622303977847
"hTAG","Cer 18:1;O2/16:0","35 (22/13)","35 (20/15)",0.4019418637880542,0.00860177805613852,0.28881437352233186,0.006237147152013646,12.660737743771053,12.776185520209962,5.818933978515922
"hTAG","Cer 18:1;O2/18:0","34 (22/12)","31 (20/11)",0.0652477469000615,0.0015104173743874449,0.0995468697644595,0.0019737560687639027,13.498046246227444,11.039431703463375,5.619700323047032
"hTAG","Cer 18:1;O2/24:0","35 (20/15)","36 (21/15)",3.924974835893115,0.08920517353465755,3.764137972858822,0.0764509798531908,13.445816744356117,12.186213216057078,4.200623576492542
"hTAG","Cer 18:1;O2/24:1","34 (21/13)","33 (20/13)",1.220726448243929,0.039969462312041404,1.278357175986386,0.02669851551156066,19.091911405672676,11.997530721989772,4.682016047926877
"DB","Cer 18:1;O2/16:0","33 (22/11)","35 (21/14)",0.30884277321549486,0.0060363123873902885,0.21606123922577267,0.005224828976539815,11.227711208007415,14.306362950163587,5.472101913255233
"DB","Cer 18:1;O2/18:0","35 (22/13)","32 (21/11)",0.06312646618297373,0.0014147407919665091,0.09655121465500752,0.002009942975935216,13.25865346781737,11.776086406870283,4.987531993677957
"DB","Cer 18:1;O2/24:0","35 (20/15)","36 (21/15)",2.525215933516949,0.049794829581457596,2.4012645742526755,0.04745219735001214,11.66594035304802,11.856801918159379,3.5216264233124708
"DB","Cer 18:1;O2/24:1","35 (21/14)","33 (21/12)",0.8498298446898862,0.030786822837821488,0.866302164374892,0.017339648687459085,21.43220802549827,11.49814721124995,4.414236940871166
"YAA","Cer 18:1;O2/16:0","34 (21/13)","34 (20/14)",0.2126917421184562,0.004761738562032555,0.14501927677238236,0.0038860878179910793,13.054323696111345,15.625226956148799,6.314254378396203
"YAA","Cer 18:1;O2/18:0","33 (22/11)","34 (21/13)",0.03306051589803953,7.283345793965983e-4,0.049364734645125266,0.0015729380753643546,12.655469841690495,18.579510893665475,5.583451786722824
"YAA","Cer 18:1;O2/24:0","34 (20/14)","35 (21/14)",1.7312474307069259,0.03180521448625456,1.6484938723177585,0.03746915741530798,10.712199330101528,13.44685160174815,3.5182064489794307
"YAA","Cer 18:1;O2/24:1","33 (21/12)","33 (21/12)",0.5332973218231635,0.018093280176109502,0.551849850139048,0.013486867366880798,19.48968749696638,14.039354087905378,4.603409411162697
