Sample,ceramideId,isotope,replicate,area,SampleType,LabId,ceramideName,Protocol,Vendor,Instrument,MassAnalyzerType
T1D 5,1,l,2,NA,NIST T1D,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
T1D 5,1,l,3,NA,NIST T1D,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
T1D 5,2,l,1,NA,NIST T1D,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
T1D 5,2,l,2,NA,NIST T1D,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
T1D 5,2,l,3,NA,NIST T1D,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
T1D 5,3,l,1,NA,NIST T1D,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
T1D 5,3,l,2,NA,NIST T1D,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
T1D 5,3,l,3,NA,NIST T1D,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
T1D 5,4,l,1,NA,NIST T1D,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
T1D 5,4,l,2,NA,NIST T1D,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
T1D 5,4,l,3,NA,NIST T1D,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
T1D 5,1,h,1,NA,NIST T1D,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
T1D 5,1,h,2,NA,NIST T1D,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
T1D 5,1,h,3,NA,NIST T1D,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
T1D 5,2,h,1,NA,NIST T1D,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
T1D 5,2,h,2,NA,NIST T1D,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
T1D 5,2,h,3,NA,NIST T1D,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
T1D 5,3,h,1,NA,NIST T1D,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
T1D 5,3,h,2,NA,NIST T1D,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
T1D 5,3,h,3,NA,NIST T1D,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
T1D 5,4,h,1,NA,NIST T1D,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
T1D 5,4,h,2,NA,NIST T1D,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
T1D 5,4,h,3,NA,NIST T1D,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
T1D 6,1,l,1,NA,NIST T1D,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
T1D 6,1,l,2,NA,NIST T1D,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
T1D 6,1,l,3,NA,NIST T1D,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
T1D 6,2,l,1,NA,NIST T1D,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
T1D 6,2,l,2,NA,NIST T1D,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
T1D 6,2,l,3,NA,NIST T1D,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
T1D 6,3,l,1,NA,NIST T1D,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
T1D 6,3,l,2,NA,NIST T1D,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
T1D 6,3,l,3,NA,NIST T1D,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
T1D 6,4,l,1,NA,NIST T1D,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
T1D 6,4,l,2,NA,NIST T1D,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
T1D 6,4,l,3,NA,NIST T1D,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
T1D 6,1,h,1,NA,NIST T1D,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
T1D 6,1,h,2,NA,NIST T1D,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
T1D 6,1,h,3,NA,NIST T1D,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
T1D 6,2,h,1,NA,NIST T1D,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
T1D 6,2,h,2,NA,NIST T1D,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
T1D 6,2,h,3,NA,NIST T1D,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
T1D 6,3,h,1,NA,NIST T1D,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
T1D 6,3,h,2,NA,NIST T1D,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
T1D 6,3,h,3,NA,NIST T1D,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
T1D 6,4,h,1,NA,NIST T1D,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
T1D 6,4,h,2,NA,NIST T1D,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
T1D 6,4,h,3,NA,NIST T1D,20b,Cer 18:1;O2/24:1,Preferred,Agilent,6460,QQQ
yA-A 1,1,l,1,12379.161425095,NIST YAA,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
yA-A 1,1,l,2,13507.2063020074,NIST YAA,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
yA-A 1,1,l,3,4103.2816509438,NIST YAA,20b,Cer 18:1;O2/16:0,Preferred,Agilent,6460,QQQ
yA-A 1,2,l,1,4785.96913279271,NIST YAA,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
yA-A 1,2,l,2,4637.74587931915,NIST YAA,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
yA-A 1,2,l,3,811.144144161768,NIST YAA,20b,Cer 18:1;O2/18:0,Preferred,Agilent,6460,QQQ
yA-A 1,3,l,1,199442.171765575,NIST YAA,20b,Cer 18:1;O2/24:0,Preferred,Agilent,6460,QQQ
