Lab_id,SampleType,SampleId,ceramideName,Unit,replicate,Protocol,Instrument,MassAnalyzerType,C_SinglePoint,Calibration Line 1,Calibration Line 2,Avg_C_Adj
02a,NIST hTAG,hTAG 3,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,2.040697674,2.166122129,2.05788282,2.112002475
02a,NIST hTAG,hTAG 3,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.638716356,0.723612218,0.678749433,0.701180825
02a,NIST hTAG,hTAG 4,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.209276018,0.160947341,0.151622409,0.156284875
02a,NIST hTAG,hTAG 4,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.032571802,0.050535436,0.050135109,0.050335272
02a,NIST hTAG,hTAG 4,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,2.002890173,2.125618553,2.019493184,2.072555868
02a,NIST hTAG,hTAG 4,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.600790514,0.67987422,0.638061182,0.658967701
02a,NIST hTAG,hTAG 5,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.212734742,0.16364992,0.154181143,0.158915532
02a,NIST hTAG,hTAG 5,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.033287293,0.051668108,0.051261339,0.051464723
02a,NIST hTAG,hTAG 5,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,2,2.122522279,2.01655851,2.069540394
02a,NIST hTAG,hTAG 5,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.608559499,0.688833806,0.646396037,0.667614922
02a,NIST hTAG,hTAG 6,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.216011236,0.166210108,0.156605066,0.161407587
02a,NIST hTAG,hTAG 6,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.034239888,0.053176132,0.052760787,0.052968459
02a,NIST hTAG,hTAG 6,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,2.098159509,2.227681602,2.116229416,2.171955509
02a,NIST hTAG,hTAG 6,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.615957447,0.697365494,0.65433283,0.675849162
02a,NIST T1D,T1D 1,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.1713138,0.131284408,0.123538278,0.127411343
02a,NIST T1D,T1D 1,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.034606987,0.053757274,0.053338624,0.053547949
02a,NIST T1D,T1D 1,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,1.319711538,1.393722035,1.325795404,1.35975872
02a,NIST T1D,T1D 1,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.444444444,0.499568034,0.470327315,0.484947675
02a,NIST T1D,T1D 2,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.161877395,0.123910986,0.116557305,0.120234145
02a,NIST T1D,T1D 2,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.031823085,0.049350167,0.04895658,0.049153373
02a,NIST T1D,T1D 2,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,1.3275,1.402065897,1.333703788,1.367884842
02a,NIST T1D,T1D 2,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.437181664,0.491192228,0.462535535,0.476863881
02a,NIST T1D,T1D 3,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.167750929,0.128500451,0.120902496,0.124701474
02a,NIST T1D,T1D 3,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.032299465,0.050104309,0.049706434,0.049905371
02a,NIST T1D,T1D 3,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,1.286764706,1.358425744,1.292341278,1.325383511
02a,NIST T1D,T1D 3,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.441326531,0.495972298,0.466982301,0.4814773
02a,NIST T1D,T1D 4,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.163735741,0.125363062,0.117932094,0.121647578
02a,NIST T1D,T1D 4,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.033314732,0.051711546,0.05130453,0.051508038
02a,NIST T1D,T1D 4,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,1.317961165,1.391846842,1.32401808,1.357932461
