Study,Species,LabId,Conc
Quehenberger,Cer d18:1/16:0,1,0.331
Quehenberger,Cer d18:1/18:0,1,0.128
Quehenberger,Cer d18:1/24:0,1,3
Quehenberger,Cer d18:1/24:1,1,1
